id,alias,name,image_url,is_closed,url,review_count,category_alias,category_title,rating,latitude,longitude,transactions,price,address1,address2,address3,city,zip_code,country,state,display_address,phone,display_phone,distance
PHSsvGDW6Rh2pGWEDTrDew,death-ave-new-york-5,Death Ave,https://s3-media3.fl.yelpcdn.com/bphoto/_qybQRGk9_NxNGf164VKnA/o.jpg,False,https://www.yelp.com/biz/death-ave-new-york-5?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,589,"greek,newamerican,gastropubs","Greek,American (New),Gastropubs",4.0,40.75106,-74.00193,"['delivery', 'restaurant_reservation', 'pickup']",$$,315 10th Ave,,,New York,10001,US,NY,"315 10th Ave,New York, NY 10001",+12126958080,(212) 695-8080,492.87311200463756
VvsZAnEwU4c8Xkyrzx05Nw,anytime-new-york,Anytime,https://s3-media3.fl.yelpcdn.com/bphoto/Df_R8u2VhDhu2Y1Wq_0-hw/o.jpg,False,https://www.yelp.com/biz/anytime-new-york?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,1390,"korean,newamerican,tapasmallplates","Korean,American (New),Tapas/Small Plates",4.5,40.74779,-73.98674,"['delivery', 'restaurant_reservation', 'pickup']",$$,23 W 32nd St,Fl 3,,New York,10001,US,NY,"23 W 32nd St,Fl 3,New York, NY 10001",+16466697733,(646) 669-7733,913.944073721826
LSTcQPMmoSdd68zur-aNdw,itaewon-new-york-2,Itaewon,https://s3-media1.fl.yelpcdn.com/bphoto/j2x3unNX8v8AExvD8wHzIg/o.jpg,False,https://www.yelp.com/biz/itaewon-new-york-2?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,112,"gastropubs,korean","Gastropubs,Korean",4.5,40.7475125111924,-73.9867554408843,['restaurant_reservation'],$$,28 W 32nd St,Fl 2,,New York,10001,US,NY,"28 W 32nd St,Fl 2,New York, NY 10001",+12129672228,(212) 967-2228,926.607264298534
LJTGRkX5yWoqx1jJ7E4zqw,haymaker-bar-and-kitchen-new-york,Haymaker Bar and Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/Tz86g2KkKGay63Xjx0C-cw/o.jpg,False,https://www.yelp.com/biz/haymaker-bar-and-kitchen-new-york?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,341,"gastropubs,beerbar,breakfast_brunch","Gastropubs,Beer Bar,Breakfast & Brunch",4.0,40.7487508496393,-73.995229748466,"['delivery', 'restaurant_reservation', 'pickup']",$$,252 W 29th St,,,New York,10001,US,NY,"252 W 29th St,New York, NY 10001",+16464298237,(646) 429-8237,349.2481067321528
ptWTdgSzSpH-0LD24QIH-w,wild-ink-new-york,Wild Ink,https://s3-media2.fl.yelpcdn.com/bphoto/tZEeTncctkFhV8pDrERORA/o.jpg,False,https://www.yelp.com/biz/wild-ink-new-york?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,144,asianfusion,Asian Fusion,4.0,40.753754,-74.001388,[],$$$,500 W 33rd St,Fl 5,,New York,10001,US,NY,"500 W 33rd St,Fl 5,New York, NY 10001",+16469747305,(646) 974-7305,489.04865000346473
1s0SM5zh7QEMlqjIM7XYpQ,versa-new-york,VERSA,https://s3-media3.fl.yelpcdn.com/bphoto/nAJZFv-zn3G1Wv3iWTcFJQ/o.jpg,False,https://www.yelp.com/biz/versa-new-york?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,152,"newamerican,gastropubs,cocktailbars","American (New),Gastropubs,Cocktail Bars",4.0,40.75183,-73.99099,[],,218 W 35th St,Fl 5,,New York,10001,US,NY,"218 W 35th St,Fl 5,New York, NY 10001",+16468502850,(646) 850-2850,433.6880078751483
vGS5X12NYXCl8NpynlxRuw,oscar-wilde-new-york-2,Oscar Wilde,https://s3-media4.fl.yelpcdn.com/bphoto/AkUDvzzZGb-LPVQHAsZafQ/o.jpg,False,https://www.yelp.com/biz/oscar-wilde-new-york-2?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,675,"cocktailbars,newamerican,gastropubs","Cocktail Bars,American (New),Gastropubs",4.0,40.74514,-73.9900399,"['delivery', 'restaurant_reservation', 'pickup']",$$,45 W 27th St,,,New York,10001,US,NY,"45 W 27th St,New York, NY 10001",+12122133066,(212) 213-3066,901.8213628461137
xGNzAsakHgbbl9fwgSoiUg,kahlo-new-york,Kahlo,https://s3-media4.fl.yelpcdn.com/bphoto/bmJR8rol4gIPP6legyLG_g/o.jpg,False,https://www.yelp.com/biz/kahlo-new-york?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,108,mexican,Mexican,4.5,40.752092,-74.0026757,['pickup'],$$$,525 West 29th St,,,New York,10001,US,NY,"525 West 29th St,New York, NY 10001",+12122560083,(212) 256-0083,547.9505257952098
ySIIdmS4oh-QL2dny7GscA,riko-peruvian-cuisine-new-york-2,Riko Peruvian Cuisine,https://s3-media4.fl.yelpcdn.com/bphoto/8aZbZF1sHXLddJ4TPIHcZA/o.jpg,False,https://www.yelp.com/biz/riko-peruvian-cuisine-new-york-2?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,720,"peruvian,latin,seafood","Peruvian,Latin American,Seafood",4.0,40.750076,-73.995422,"['delivery', 'pickup']",$$,409 8th Ave,,,New York,10001,US,NY,"409 8th Ave,New York, NY 10001",+12126437556,(212) 643-7556,203.0196164255998
iPc-zPgcpgeSo76xl5Jbpw,the-maze-new-york-3,The Maze,https://s3-media4.fl.yelpcdn.com/bphoto/hPYHRfgxCwzPF5HVpXqyQQ/o.jpg,False,https://www.yelp.com/biz/the-maze-new-york-3?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,467,"korean,cocktailbars,mexican","Korean,Cocktail Bars,Mexican",4.0,40.747846,-73.9872499,['restaurant_reservation'],$$,32 W 32nd St,Fl 3,,New York,10001,US,NY,"32 W 32nd St,Fl 3,New York, NY 10001",+16469187519,(646) 918-7519,871.8600361229928
jIbFA311ECY4Fv4L0JikdQ,just-pho-new-york-2,Just Pho,https://s3-media2.fl.yelpcdn.com/bphoto/csy62hnNVt9F2s3fI3f4UA/o.jpg,False,https://www.yelp.com/biz/just-pho-new-york-2?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,168,"vietnamese,soup","Vietnamese,Soup",4.0,40.74989,-73.99425,"['delivery', 'pickup']",$$,252 W 31st St,,,New York,10001,US,NY,"252 W 31st St,New York, NY 10001",+19172617494,(917) 261-7494,266.52104733128874
R-biStUvl2zuhIQFk40GsQ,ocabanon-new-york,OCabanon,https://s3-media2.fl.yelpcdn.com/bphoto/FNrsHOYTQ_FMBdKMyRuzqg/o.jpg,False,https://www.yelp.com/biz/ocabanon-new-york?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,431,"french,wine_bars,tapas","French,Wine Bars,Tapas Bars",4.0,40.7486725,-73.9945145,"['delivery', 'pickup']",$$,245 W 29th St,,,New York,10001,US,NY,"245 W 29th St,New York, NY 10001",+16466697879,(646) 669-7879,360.22564727593556
rrL05CECQO4sQXCc5BF90g,mercado-little-spain-new-york,Mercado Little Spain,https://s3-media4.fl.yelpcdn.com/bphoto/Y04odfwTGpf_Wm284gBBbA/o.jpg,False,https://www.yelp.com/biz/mercado-little-spain-new-york?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,338,spanish,Spanish,3.5,40.752435,-74.001475,[],$$,10 Hudson Yards,,,New York,10001,US,NY,"10 Hudson Yards,New York, NY 10001",+16464951242,(646) 495-1242,451.31721373536067
opwt5LRIv9MMFwOLHkPVSQ,the-tavern-by-ws-new-york,The Tavern by WS,https://s3-media3.fl.yelpcdn.com/bphoto/QIoFOql89yIO4rWdv1AcXw/o.jpg,False,https://www.yelp.com/biz/the-tavern-by-ws-new-york?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,20,"newamerican,desserts,brasseries","American (New),Desserts,Brasseries",4.5,40.7551406,-74.0022568,[],,37 Hudson Yards,,,New York,10001,US,NY,"37 Hudson Yards,New York, NY 10001",+12125643005,(212) 564-3005,625.0706287168499
_FAh31lob7Dnn4iGiLIwng,mui-new-york,MUI,https://s3-media2.fl.yelpcdn.com/bphoto/j4lNyO7BVZJ3_qqxFTD1mA/o.jpg,False,https://www.yelp.com/biz/mui-new-york?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,254,"korean,cocktailbars,gastropubs","Korean,Cocktail Bars,Gastropubs",4.0,40.74732,-73.98646,['restaurant_reservation'],$$,10 W 32nd St,Fl 5,,New York,10001,US,NY,"10 W 32nd St,Fl 5,New York, NY 10001",+12122441900,(212) 244-1900,958.8544121194061
kacoHTzwYA7QZM3F2dw4kA,spanish-diner-at-mercado-little-spain-new-york,Spanish Diner at Mercado Little Spain,https://s3-media1.fl.yelpcdn.com/bphoto/YnKjASn34dAAr3RdkT7oBQ/o.jpg,False,https://www.yelp.com/biz/spanish-diner-at-mercado-little-spain-new-york?adjust_creative=h5HwbyQ0TYvQjBo6Ys5Bgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=h5HwbyQ0TYvQjBo6Ys5Bgw,112,spanish,Spanish,3.5,40.7522295,-74.0010816,[],$$,347 10th Ave,,,New York,10001,US,NY,"347 10th Ave,New York, NY 10001",+16464951242,(646) 495-1242,454.4355723280959
