id,name,review_count,category_alias,rating,latitude,longitude,delivery,pickup,restaurant_reservation,price,city,zip_code,country,state,distance,italian,breakfast_brunch,newamerican,pizza,tradamerican,sandwiches,chinese,bars,japanese,mexican,seafood,delis,coffee,salad,mediterranean,french,indpak,thai,asianfusion,korean,latin,desserts,bakeries,italian,breakfast_brunch,newamerican,pizza,tradamerican,sandwiches,chinese,bars,japanese,mexican,seafood,delis,coffee,salad,mediterranean,french,indpak,thai,asianfusion,korean,latin,desserts,bakeries
PHSsvGDW6Rh2pGWEDTrDew,Death Ave,589,"greek,newamerican,gastropubs",4.0,40.751059999999995,-74.00193,1,1,1,2,New York,10001,US,NY,492.8731120046376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
VvsZAnEwU4c8Xkyrzx05Nw,Anytime,1390,"korean,newamerican,tapasmallplates",4.5,40.74779,-73.98674,1,1,1,2,New York,10001,US,NY,913.944073721826,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
LSTcQPMmoSdd68zur-aNdw,Itaewon,112,"gastropubs,korean",4.5,40.7475125111924,-73.9867554408843,0,0,1,2,New York,10001,US,NY,926.6072642985339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
LJTGRkX5yWoqx1jJ7E4zqw,Haymaker Bar and Kitchen,341,"gastropubs,beerbar,breakfast_brunch",4.0,40.74875084963929,-73.995229748466,1,1,1,2,New York,10001,US,NY,349.2481067321528,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
ptWTdgSzSpH-0LD24QIH-w,Wild Ink,144,asianfusion,4.0,40.753754,-74.001388,0,0,0,3,New York,10001,US,NY,489.04865000346473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
vGS5X12NYXCl8NpynlxRuw,Oscar Wilde,675,"cocktailbars,newamerican,gastropubs",4.0,40.74514,-73.99003990000001,1,1,1,2,New York,10001,US,NY,901.8213628461136,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
xGNzAsakHgbbl9fwgSoiUg,Kahlo,108,mexican,4.5,40.752092,-74.0026757,0,1,0,3,New York,10001,US,NY,547.9505257952098,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
ySIIdmS4oh-QL2dny7GscA,Riko Peruvian Cuisine,720,"peruvian,latin,seafood",4.0,40.750076,-73.99542199999999,1,1,0,2,New York,10001,US,NY,203.01961642559982,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
iPc-zPgcpgeSo76xl5Jbpw,The Maze,467,"korean,cocktailbars,mexican",4.0,40.747846,-73.98724990000001,0,0,1,2,New York,10001,US,NY,871.8600361229927,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
jIbFA311ECY4Fv4L0JikdQ,Just Pho,168,"vietnamese,soup",4.0,40.74989,-73.99425,1,1,0,2,New York,10001,US,NY,266.52104733128874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
