zipcode, italian, breakfast_brunch, newamerican, pizza, tradamerican, sandwiches, chinese, bars, japanese, mexican, seafood, delis, coffee, salad, mediterranean, french, indpak, thai, asianfusion, korean, latin, desserts, bakeries
10001, 11, 22, 36, 15, 20, 13, 13, 13, 6, 7, 9, 6, 7, 12, 3, 4, 7, 3, 7, 40, 4, 9, 1
10002, 17, 35, 28, 29, 17, 26, 64, 25, 20, 17, 12, 12, 15, 11, 6, 8, 3, 10, 7, 2, 5, 11, 16
10003, 37, 29, 28, 21, 28, 12, 15, 25, 41, 18, 16, 4, 9, 5, 12, 12, 12, 11, 12, 10, 2, 11, 4
10004, 6, 3, 3, 4, 4, 2, 2, 5, 2, 4, 7, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0
10005, 2, 7, 5, 4, 2, 7, 1, 0, 1, 3, 1, 4, 3, 6, 1, 0, 3, 1, 1, 0, 0, 0, 0
10006, 3, 4, 4, 7, 5, 4, 3, 7, 1, 2, 0, 3, 2, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0
10007, 6, 13, 9, 11, 8, 14, 3, 2, 8, 5, 3, 7, 9, 9, 2, 2, 5, 0, 1, 3, 1, 0, 2
10009, 15, 20, 20, 21, 9, 19, 10, 20, 13, 9, 7, 17, 11, 3, 8, 5, 3, 4, 5, 4, 4, 5, 2
10010, 20, 17, 20, 13, 13, 20, 7, 15, 8, 10, 5, 8, 6, 13, 6, 5, 4, 5, 5, 4, 3, 4, 2
10011, 33, 13, 14, 9, 9, 4, 6, 14, 11, 4, 7, 1, 1, 5, 11, 10, 2, 7, 8, 6, 2, 4, 0
10012, 43, 32, 20, 17, 17, 13, 4, 17, 16, 10, 10, 3, 10, 5, 12, 15, 7, 7, 4, 0, 2, 1, 5
10013, 61, 23, 33, 18, 17, 20, 45, 19, 10, 7, 21, 16, 11, 10, 6, 14, 4, 6, 14, 3, 3, 8, 9
10014, 35, 42, 42, 25, 22, 16, 7, 22, 14, 20, 17, 10, 16, 12, 12, 22, 4, 4, 8, 2, 1, 9, 7
10016, 30, 31, 31, 20, 20, 19, 11, 20, 18, 17, 10, 9, 8, 14, 19, 2, 19, 9, 6, 19, 2, 4, 4
10017, 15, 7, 11, 11, 19, 12, 2, 16, 23, 7, 11, 10, 8, 6, 6, 2, 8, 6, 5, 2, 2, 5, 3
10018, 19, 13, 15, 13, 17, 12, 4, 11, 13, 8, 7, 5, 3, 10, 7, 1, 8, 4, 5, 6, 7, 4, 1
10019, 39, 13, 35, 16, 20, 6, 6, 18, 12, 14, 15, 1, 2, 9, 15, 14, 7, 12, 7, 5, 3, 6, 2
10021, 24, 15, 4, 12, 18, 14, 5, 7, 10, 6, 8, 14, 14, 10, 2, 7, 3, 2, 3, 0, 1, 3, 4
10022, 41, 33, 33, 18, 22, 24, 14, 20, 20, 10, 17, 12, 10, 21, 14, 13, 8, 7, 9, 5, 1, 7, 2
10023, 20, 19, 19, 14, 16, 15, 5, 8, 7, 6, 3, 6, 13, 5, 6, 9, 1, 2, 6, 1, 1, 4, 8
10024, 16, 24, 10, 15, 16, 12, 9, 7, 8, 8, 4, 7, 8, 7, 7, 9, 5, 3, 2, 0, 1, 4, 8
10025, 17, 16, 8, 24, 11, 14, 22, 4, 4, 14, 4, 18, 8, 5, 10, 4, 9, 6, 3, 3, 6, 2, 1
10026, 4, 10, 6, 6, 7, 7, 5, 8, 0, 3, 6, 0, 4, 1, 1, 1, 1, 0, 0, 0, 1, 2, 1
10027, 10, 11, 8, 9, 10, 13, 13, 10, 6, 3, 11, 15, 5, 2, 2, 3, 4, 2, 3, 0, 3, 1, 1
10028, 19, 13, 9, 12, 9, 8, 6, 9, 8, 5, 6, 6, 10, 3, 4, 4, 3, 4, 3, 1, 1, 2, 5
10029, 10, 22, 3, 18, 10, 12, 20, 2, 1, 27, 6, 10, 11, 7, 0, 3, 3, 5, 0, 0, 12, 2, 7
10030, 1, 4, 4, 3, 3, 0, 1, 0, 0, 1, 2, 1, 5, 0, 0, 2, 0, 0, 1, 0, 0, 2, 1
10031, 3, 8, 5, 10, 6, 8, 8, 3, 4, 14, 4, 10, 5, 0, 1, 0, 2, 0, 1, 0, 5, 1, 1
10032, 2, 4, 0, 8, 6, 7, 9, 5, 1, 9, 2, 9, 2, 2, 0, 0, 0, 2, 0, 1, 4, 0, 1
10033, 1, 7, 3, 12, 3, 5, 10, 2, 1, 4, 3, 4, 5, 2, 1, 1, 0, 2, 0, 0, 9, 0, 1
10034, 2, 7, 6, 6, 2, 3, 3, 6, 2, 11, 6, 4, 3, 2, 1, 0, 0, 2, 1, 0, 14, 1, 1
10035, 3, 6, 0, 5, 6, 5, 4, 0, 1, 6, 0, 3, 4, 1, 0, 0, 1, 2, 0, 0, 3, 0, 0
10036, 37, 28, 36, 22, 28, 13, 12, 17, 12, 14, 13, 5, 9, 14, 8, 10, 4, 10, 5, 4, 8, 5, 5
10038, 15, 10, 12, 13, 10, 21, 14, 7, 7, 3, 12, 5, 8, 12, 5, 3, 3, 3, 5, 0, 1, 1, 5
10040, 1, 1, 3, 6, 2, 5, 5, 6, 0, 4, 1, 3, 1, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0
10065, 16, 15, 10, 9, 8, 10, 4, 4, 7, 4, 3, 6, 4, 6, 6, 9, 2, 2, 3, 1, 0, 1, 4
10075, 10, 11, 4, 6, 6, 5, 4, 3, 8, 3, 1, 2, 7, 4, 1, 2, 1, 2, 2, 1, 0, 1, 1
10080, 1, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10112, 1, 0, 2, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0
10119, 1, 3, 0, 1, 0, 3, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
