zipcode, italian, breakfast_brunch, newamerican, pizza, tradamerican, sandwiches, chinese, bars, japanese, mexican, seafood, delis, coffee, salad, mediterranean, french, indpak, thai, asianfusion, korean, latin, desserts, bakeries
10001, 0.041, 0.082, 0.134, 0.056, 0.075, 0.049, 0.049, 0.049, 0.022, 0.026, 0.034, 0.022, 0.026, 0.045, 0.011, 0.015, 0.026, 0.011, 0.026, 0.149, 0.015, 0.034, 0.004
10002, 0.043, 0.088, 0.071, 0.073, 0.043, 0.066, 0.162, 0.063, 0.051, 0.043, 0.03, 0.03, 0.038, 0.028, 0.015, 0.02, 0.008, 0.025, 0.018, 0.005, 0.013, 0.028, 0.04
10003, 0.099, 0.078, 0.075, 0.056, 0.075, 0.032, 0.04, 0.067, 0.11, 0.048, 0.043, 0.011, 0.024, 0.013, 0.032, 0.032, 0.032, 0.029, 0.032, 0.027, 0.005, 0.029, 0.011
10004, 0.128, 0.064, 0.064, 0.085, 0.085, 0.043, 0.043, 0.106, 0.043, 0.085, 0.149, 0.0, 0.0, 0.021, 0.021, 0.0, 0.0, 0.021, 0.043, 0.0, 0.0, 0.0, 0.0
10005, 0.038, 0.135, 0.096, 0.077, 0.038, 0.135, 0.019, 0.0, 0.019, 0.058, 0.019, 0.077, 0.058, 0.115, 0.019, 0.0, 0.058, 0.019, 0.019, 0.0, 0.0, 0.0, 0.0
10006, 0.062, 0.083, 0.083, 0.146, 0.104, 0.083, 0.062, 0.146, 0.021, 0.042, 0.0, 0.062, 0.042, 0.0, 0.0, 0.021, 0.021, 0.0, 0.0, 0.021, 0.0, 0.0, 0.0
10007, 0.049, 0.106, 0.073, 0.089, 0.065, 0.114, 0.024, 0.016, 0.065, 0.041, 0.024, 0.057, 0.073, 0.073, 0.016, 0.016, 0.041, 0.0, 0.008, 0.024, 0.008, 0.0, 0.016
10009, 0.064, 0.085, 0.085, 0.09, 0.038, 0.081, 0.043, 0.085, 0.056, 0.038, 0.03, 0.073, 0.047, 0.013, 0.034, 0.021, 0.013, 0.017, 0.021, 0.017, 0.017, 0.021, 0.009
10010, 0.094, 0.08, 0.094, 0.061, 0.061, 0.094, 0.033, 0.07, 0.038, 0.047, 0.023, 0.038, 0.028, 0.061, 0.028, 0.023, 0.019, 0.023, 0.023, 0.019, 0.014, 0.019, 0.009
10011, 0.182, 0.072, 0.077, 0.05, 0.05, 0.022, 0.033, 0.077, 0.061, 0.022, 0.039, 0.006, 0.006, 0.028, 0.061, 0.055, 0.011, 0.039, 0.044, 0.033, 0.011, 0.022, 0.0
