categories, count, avg_rating
italian,647,3.7874806800618237
breakfast_brunch,594,3.734848484848485
newamerican,545,3.8220183486238533
pizza,489,3.5357873210633946
tradamerican,452,3.5508849557522124
sandwiches,438,3.5490867579908674
chinese,385,3.5103896103896104
bars,379,3.7849604221635884
japanese,326,3.8098159509202456
mexican,321,3.5514018691588785
seafood,279,3.772401433691756
delis,265,3.413207547169811
coffee,262,3.704198473282443
salad,245,3.6163265306122447
mediterranean,198,3.840909090909091
french,198,3.919191919191919
indpak,150,3.8366666666666664
thai,146,3.787671232876712
asianfusion,145,3.7551724137931033
korean,126,3.8174603174603177
latin,121,3.6487603305785123
desserts,120,3.908333333333333
bakeries,117,3.841880341880342
